category,closing_1,closing_2,id,latitude,longitude,name,opening_1,opening_2,price_range,rating,reviews,url
restaurants,10:00 PM,0,trattoria-da-vittorio-san-francisco,37.73933,-122.46775,Trattoria da Vittorio,11:00 AM,0,$$,4,337,http://www.yelp.com/biz/trattoria-da-vittorio-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,12:00 AM,0,reno-rotary-mardi-gras-reno,39.530921,-119.812446,Reno Rotary Mardi Gras,12:00 AM,0,None,5,8,http://www.yelp.com/biz/reno-rotary-mardi-gras-reno?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,harry-harringtons-pub-san-francisco,37.7822,-122.41708,Harry Harrington's Pub,10:00 AM,0,$,3.5,54,http://www.yelp.com/biz/harry-harringtons-pub-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,south-park-san-francisco,37.78171352,-122.3938751,South Park,,,None,4,71,http://www.yelp.com/biz/south-park-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,lake-merced-san-francisco,37.72641979,-122.5016141,Lake Merced,,,None,4,227,http://www.yelp.com/biz/lake-merced-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,3:00 AM,0,taqueria-guadalajara-san-francisco,37.72129074,-122.437459,Taqueria Guadalajara,9:00 AM,0,$,4.5,617,http://www.yelp.com/biz/taqueria-guadalajara-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,,,james-pitts-fitness-san-francisco,37.7202042,-122.4099154,James Pitts Fitness,,,None,5,6,http://www.yelp.com/biz/james-pitts-fitness-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,5:15 PM,0,joyce-van-horn-san-francisco-2,37.764605,-122.459413,Joyce Van Horn,10:00 AM,0,None,5,43,http://www.yelp.com/biz/joyce-van-horn-san-francisco-2?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
nightlife,2:00 AM,0,the-blarney-stone-san-francisco,37.77990736,-122.4799204,The Blarney Stone,10:00 AM,0,$,4,201,http://www.yelp.com/biz/the-blarney-stone-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
restaurants,9:30 PM,0,crawfish-asian-cuisine-reno,39.5051249,-119.7821,Crawfish Asian Cuisine,11:00 AM,0,$$,4.5,214,http://www.yelp.com/biz/crawfish-asian-cuisine-reno?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,12:00 AM,0,salsa-dance-classes-with-tianne-frias-san-francisco,37.7485824,-122.4184108,Salsa Dance Classes with Tianne Frias,12:00 AM,0,None,5,53,http://www.yelp.com/biz/salsa-dance-classes-with-tianne-frias-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,12:00 AM,0,m2-revolution-san-francisco,37.7887192,-122.4209976,M2 Revolution,12:00 AM,0,$$,4.5,19,http://www.yelp.com/biz/m2-revolution-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
arts,12:00 AM,0,caamfest-san-francisco,37.775856,-122.413826,CAAMFest,12:00 AM,0,None,5,52,http://www.yelp.com/biz/caamfest-san-francisco?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
active,2:00 PM,0,diakadi-body-san-francisco-4,37.76951218,-122.4082565,DIAKADI Body,8:00 AM,0,None,5,95,http://www.yelp.com/biz/diakadi-body-san-francisco-4?utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=6vQeLVuzHMWCjkdL8F1hlQ
